City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Rikitea,-23.12,-134.97,78.3,75,0,10.98,PF,1609374187
Albany,42.6,-73.97,35.01,46,96,8.86,US,1609374187
Banda Aceh,5.56,95.32,77.52,79,47,12.28,ID,1609374187
Puerto Ayora,-0.74,-90.35,73.15,81,61,9.28,EC,1609374187
Isangel,-19.55,169.27,78.8,88,90,6.93,VU,1609374187
Faanui,-16.48,-151.75,81.21,77,83,14.99,PF,1609374187
Dikson,73.51,80.55,-21.03,84,3,6.73,RU,1609374187
Busselton,-33.65,115.33,79.0,48,0,8.99,AU,1609374187
Saint Paul Harbor,57.79,-152.41,41.0,65,75,3.67,US,1609374187
Khatanga,71.97,102.5,-28.66,81,0,4.94,RU,1609374187
Roald,62.58,6.13,36.0,64,0,3.36,NO,1609374119
Castro,-24.79,-50.01,65.41,93,28,4.81,BR,1609374004
Rawlins,41.79,-107.24,23.0,49,75,6.93,US,1609374035
Hasaki,35.73,140.83,37.0,37,20,10.29,JP,1609374188
Ilulissat,69.22,-51.1,28.4,50,95,27.51,GL,1609374188
Vila Franca do Campo,37.72,-25.43,55.4,71,40,9.17,PT,1609374188
Qaanaaq,77.48,-69.36,13.53,78,78,14.85,GL,1609374188
Garden City,42.33,-83.33,39.2,74,90,18.34,US,1609373913
Nagato,34.38,131.2,32.0,80,75,6.93,JP,1609374188
Kokopo,-4.35,152.26,77.25,87,100,3.71,PG,1609374188
Bredasdorp,-34.53,20.04,57.2,87,5,4.7,ZA,1609374188
Port Alfred,-33.59,26.89,70.0,93,23,1.01,ZA,1609374189
Laguna,38.42,-121.42,55.99,58,1,6.93,US,1609374057
Pangnirtung,66.15,-65.71,12.2,66,90,9.17,CA,1609374189
Tilichiki,60.47,166.1,2.8,95,98,14.36,RU,1609374189
Caucayá,-0.19,-74.78,79.05,73,96,1.48,CO,1609374189
Khilok,51.37,110.47,-17.36,84,28,3.29,RU,1609374189
Cidreira,-30.18,-50.21,78.8,74,21,11.03,BR,1609374189
Ushuaia,-54.8,-68.3,53.6,50,75,3.36,AR,1609374031
Kavaratti,10.57,72.64,81.64,76,0,7.45,IN,1609374189
Sangar,63.92,127.47,-20.79,83,87,3.78,RU,1609374189
Punta Arenas,-53.15,-70.92,53.6,71,75,11.41,CL,1609373992
Olafsvik,64.89,-23.71,32.86,89,31,7.7,IS,1609374189
Vilhena,-12.74,-60.15,75.2,88,40,4.7,BR,1609374190
Ancud,-41.87,-73.82,57.0,71,40,5.82,CL,1609374190
Khandyga,62.67,135.6,-43.06,79,58,1.97,RU,1609374190
Ugoofaaru,5.67,73.0,82.31,78,95,16.78,MV,1609374190
Tahe,52.33,124.73,-19.7,79,63,8.41,CN,1609374190
Saquena,-4.67,-73.52,76.1,90,74,1.9,PE,1609374190
Tasiilaq,65.61,-37.64,12.2,66,51,5.82,GL,1609374190
George Town,5.41,100.34,75.2,94,40,5.93,MY,1609373981
Saint-Philippe,-21.36,55.77,77.0,78,20,19.46,RE,1609374190
Half Moon Bay,37.46,-122.43,55.99,76,40,3.38,US,1609374190
Buala,-8.14,159.59,84.54,74,100,9.98,SB,1609374190
Lüderitz,-26.65,15.16,68.0,68,2,21.92,NA,1609374190
Kieta,-6.22,155.63,84.92,65,100,2.35,PG,1609374190
Januária,-15.48,-44.37,71.92,73,7,2.37,BR,1609374191
Torbay,47.67,-52.73,30.0,73,40,19.46,CA,1609374191
Mataura,-46.19,168.86,64.76,70,98,2.68,NZ,1609374191
Jamestown,42.1,-79.24,42.01,93,90,11.41,US,1609373910
Tuatapere,-46.13,167.68,60.94,72,94,2.8,NZ,1609374191
Gorontalo,0.54,123.06,82.2,76,58,1.5,ID,1609374191
Manta,-0.95,-80.73,77.0,78,40,10.29,EC,1609374191
Teguise,29.06,-13.56,62.6,72,40,9.17,ES,1609374191
Port Hedland,-20.32,118.57,91.4,66,38,9.17,AU,1609374191
Sur,22.57,59.53,66.74,51,0,6.2,OM,1609374191
Bluff,-46.6,168.33,57.13,82,99,3.76,NZ,1609374192
Dingle,11.0,122.67,80.42,84,78,10.04,PH,1609374192
Ambon City,-3.7,128.18,86.0,74,20,3.36,ID,1609374192
Qaqortoq,60.72,-46.03,39.2,69,75,23.04,GL,1609374192
Iqaluit,63.75,-68.51,-2.2,70,75,2.24,CA,1609374192
Mar del Plata,-38.0,-57.56,62.6,67,75,16.11,AR,1609374192
Thompson,55.74,-97.86,6.8,92,90,1.05,CA,1609374020
Sisimiut,66.94,-53.67,25.45,89,99,10.89,GL,1609374192
Hermanus,-34.42,19.23,57.0,90,6,8.9,ZA,1609374193
Beyneu,45.32,55.2,28.6,90,0,11.79,KZ,1609374193
Nsanje,-16.92,35.26,76.98,85,100,1.45,MW,1609374193
Setermoen,68.86,18.35,32.0,90,34,18.34,NO,1609374193
Carnarvon,-24.87,113.63,77.0,100,41,12.75,AU,1609374193
Krasnomayskiy,57.62,34.41,30.85,99,100,7.16,RU,1609374193
Port Elizabeth,-33.92,25.57,64.4,93,0,8.05,ZA,1609374193
São Paulo de Olivença,-3.38,-68.87,74.26,94,92,3.22,BR,1609374193
Belyy Yar,53.6,91.39,-5.8,76,100,1.07,RU,1609374193
Chebsara,59.2,38.84,26.6,100,90,4.47,RU,1609374193
Longyearbyen,78.22,15.64,30.2,80,75,2.24,SJ,1609374193
Saskylakh,71.92,114.08,-25.46,83,13,10.16,RU,1609374193
São João da Barra,-21.64,-41.05,76.19,80,90,21.16,BR,1609374053
Yellowknife,62.46,-114.35,-0.99,84,90,2.24,CA,1609374194
